Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC
Logistic Regression,0.8069552874378992,0.6583850931677019,0.5668449197860963,0.6091954022988506,0.8415846443979436
Random Forest,0.7856635911994322,0.6216216216216216,0.4919786096256685,0.5492537313432836,0.8246454312950475
Gradient Boosting,0.7984386089425124,0.6530612244897959,0.5133689839572193,0.5748502994011976,0.8420935699708079
